datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
21/01/2023,26,4,16.1,26,4,15.9,5,52,0,0,0,,0,0,14.4,18.4,139.6,1019.4,40.9,10.6,244.7,21.1,9,10,2024-02-25T06:59:06,2024-02-25T18:40:27,0.54,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMTO,76675099999,MMMX"
22/01/2023,24.9,2.1,13.8,24.9,2.1,13.7,4.5,60.2,0,0,0,,0,0,21.6,25.9,154.5,1017.9,12.7,10.3,245.1,21.1,9,10,2024-02-26T06:58:24,2024-02-26T18:40:50,0.58,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,76675099999,MMTO,MMMX"
23/01/2023,24.2,3,15.5,24.2,3,15.4,6.6,58.9,0,0,0,,0,0,28.8,29.4,140,1018.9,6.5,11.5,247.8,21.4,9,10,2024-02-27T06:57:42,2024-02-27T18:41:12,0.61,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMTO,76675099999,MMMX"
24/01/2023,29,0.1,14.2,27.7,0.1,14.1,4.5,59,0,0,0,,0,0,25.2,33.5,160.1,1018.1,14.5,12.1,249.9,21.6,9,10,2024-02-28T06:56:59,2024-02-28T18:41:33,0.64,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999"
25/01/2023,28.1,8.9,16.7,26.9,7.8,16.4,4.8,49.7,0,0,0,,0,0,14.4,19.2,65,1018.4,1.7,11.8,252.8,22,9,10,2024-02-29T06:56:15,2024-02-29T18:41:54,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
26/01/2023,22.5,1,12.8,22.5,1,12.6,3.6,56.1,0,0,0,,0,0,21.6,22.3,132.2,1020.4,10.3,12.6,248.6,21.3,9,10,2024-03-01T06:55:30,2024-03-01T18:42:15,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX"
27/01/2023,22.1,4.9,13.2,22.1,2.7,12.5,2,54.4,0,0,0,,0,0,40.7,29.4,105.2,1021.7,0.9,11.2,253.4,21.9,9,10,2024-03-02T06:54:45,2024-03-02T18:42:35,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
28/01/2023,23.9,1.1,13.9,23.9,1.1,13.7,1.8,51.1,0,0,0,,0,0,18.7,20.6,132.5,1021.3,13.3,12.1,240,20.5,9,10,2024-03-03T06:53:59,2024-03-03T18:42:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
29/01/2023,30,2.6,16,28.2,2.6,15.9,3.4,47.4,0,0,0,,0,0,18,18.4,41.6,1021.1,5.6,12,253.9,21.9,9,10,2024-03-04T06:53:13,2024-03-04T18:43:15,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMTO,76675099999,MMMX"
30/01/2023,30,3.1,16.6,28.3,3.1,16.4,3.5,46.1,0,0,0,,0,0,25.2,25.6,337.6,1019.9,6,10.7,255,22,9,10,2024-03-05T06:52:26,2024-03-05T18:43:34,0.84,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
31/01/2023,30.1,8.1,17.3,28.3,7.6,17.2,1.7,38.7,0,0,0,,0,0,21.6,18.3,111.8,1018,0.5,14.4,258.8,22.3,9,10,2024-03-06T06:51:39,2024-03-06T18:43:53,0.88,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
